project_code,title,description,state,district,constituency,block_or_taluk,village_or_ward,latitude,longitude,mp_name,mp_house,sector,status,sanction_date,expected_completion_date,actual_completion_date,agency_id,agency_name,agency_type,sanctioned_amount,released_amount,expenditure_amount,unspent_balance,financial_progress_pct,physical_progress_pct,output_unit,physical_quantity,cost_per_unit,archetype,data_attribution
MPLAD-MA-PUN-01199,"Construction of 2 additional smart classroom blocks at Government Higher Secondary School, Khadakwasla","Administrative sanction under MPLADS for: Construction of 2 additional smart classroom blocks at Government Higher Secondary School, Khadakwasla. Implemented by Municipal Corporation Public Infrastructure Cell for public benefit in Khadakwasla, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Khadakwasla,18.604146,73.944701,Murlidhar Mohol,Lok Sabha,Education & School Infrastructure,IN_PROGRESS,2025-03-09,2026-01-13,,AGY-MUNC-PUN,Municipal Corporation Public Infrastructure Cell,Municipal Corporation,3510000,3264300.0,2632500.0,631800.0,75.0,82.1,classroom_block,2.9,1210344.83,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-BI-PAT-01461,"Construction of modern girls toilet block and sanitation facility at Primary School, Bakhtiarpur","Administrative sanction under MPLADS for: Construction of modern girls toilet block and sanitation facility at Primary School, Bakhtiarpur. Implemented by Public Works Department (Div-1) for public benefit in Bakhtiarpur, Patna.",Bihar,Patna,Patna Sahib (LS-30),Bakhtiarpur,Bakhtiarpur,25.59518,85.166976,Ravi Shankar Prasad,Lok Sabha,Education & School Infrastructure,IN_PROGRESS,2026-02-09,2026-08-31,,AGY-PWD-PAT,Public Works Department (Div-1),Line Department,4400000,4226483.0,3972730.29,253752.71,90.3,17.5,classroom_block,2.7,1629629.63,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01097,Setting up of Community RO Water Purification Plant with distribution kiosk at Sanganer,"Administrative sanction under MPLADS for: Setting up of Community RO Water Purification Plant with distribution kiosk at Sanganer. Implemented by Gram Panchayat Development Committee for public benefit in Sanganer, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Sanganer,26.855153,75.893435,Manju Sharma,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2025-06-21,2026-05-26,,AGY-PRI-JAI,Gram Panchayat Development Committee,Panchayati Raj,1440000,1166400.0,950400.0,216000.0,66.0,99.2,water_installation,2.6,553846.15,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-TA-COI-01472,Construction of Multi-Purpose Community Hall and Cultural Center for public gatherings at Kinathukadavu,"Administrative sanction under MPLADS for: Construction of Multi-Purpose Community Hall and Cultural Center for public gatherings at Kinathukadavu. Implemented by Shree Balaji Civic Builders for public benefit in Kinathukadavu, Coimbatore.",Tamil Nadu,Coimbatore,Coimbatore (LS-20),Sulur,Kinathukadavu,11.069253,76.941728,Ganapathi P. Rajkumar,Lok Sabha,Community Infrastructure,IN_PROGRESS,2025-07-23,2026-03-18,,AGY-CONTR-103-COI,Shree Balaji Civic Builders,Registered Contractor,11350000,10692426.96,10131987.31,560439.65,89.3,15.3,community_hall,3.0,3783333.33,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-BI-PAT-01575,Rejuvenation of traditional percolation tank and public drinking well at Fatuha,"Administrative sanction under MPLADS for: Rejuvenation of traditional percolation tank and public drinking well at Fatuha. Implemented by District Rural Development Agency for public benefit in Fatuha, Patna.",Bihar,Patna,Patna Sahib (LS-30),Bakhtiarpur,Fatuha,25.669664,85.145878,Ravi Shankar Prasad,Lok Sabha,Drinking Water Supply,COMPLETED,2025-04-13,2025-12-26,2025-03-06,AGY-DRDA-PAT,District Rural Development Agency,Line Department,750000,675000.0,592500.0,82500.0,79.0,100.0,water_installation,1.3,576923.08,DATA_INCONSISTENT,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-UT-VAR-01067,"Construction of modern girls toilet block and sanitation facility at Primary School, Shivpur","Administrative sanction under MPLADS for: Construction of modern girls toilet block and sanitation facility at Primary School, Shivpur. Implemented by Vanguard Infra Projects Pvt Ltd for public benefit in Shivpur, Varanasi.",Uttar Pradesh,Varanasi,Varanasi (LS-77),Rohaniya,Shivpur,25.287637,83.047926,Narendra Modi,Lok Sabha,Education & School Infrastructure,IN_PROGRESS,2025-03-09,2026-01-03,,AGY-CONTR-101-VAR,Vanguard Infra Projects Pvt Ltd,Registered Contractor,2970000,2465100.0,2197800.0,267300.0,74.0,80.6,classroom_block,2.2,1350000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-WE-DAR-01452,Procurement of Basic Life Support Mobile Ambulance van for community health services in Darjeeling,"Administrative sanction under MPLADS for: Procurement of Basic Life Support Mobile Ambulance van for community health services in Darjeeling. Implemented by State Rural Water Supply & Sanitation Board for public benefit in Siliguri, Darjeeling.",West Bengal,Darjeeling,Darjeeling (LS-04),Kurseong,Siliguri,27.039206,88.303854,Raju Bista,Lok Sabha,Health & Sanitation,IN_PROGRESS,2025-10-05,2026-09-03,,AGY-JAL-DAR,State Rural Water Supply & Sanitation Board,Line Department,3040000,2803560.42,2730333.86,73226.56,89.8,14.0,facility_center,1.1,2763636.36,HIGH_SPEND_LOW_PROGRESS,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-RA-JAI-01516,"Construction of 2 additional smart classroom blocks at Government Higher Secondary School, Sanganer","Administrative sanction under MPLADS for: Construction of 2 additional smart classroom blocks at Government Higher Secondary School, Sanganer. Implemented by Gram Panchayat Development Committee for public benefit in Sanganer, Jaipur.",Rajasthan,Jaipur,Jaipur (LS-07),Sanganer,Sanganer,26.955283,75.91098,Manju Sharma,Lok Sabha,Education & School Infrastructure,STALLED,2023-07-01,2024-04-26,,AGY-PRI-JAI,Gram Panchayat Development Committee,Panchayati Raj,6030000,4221000.0,3587850.0,633150.0,59.5,41.3,classroom_block,4.4,1370454.55,DELAYED_PROJECT,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-TA-COI-01493,"Setting up of automated diagnostic lab unit at Community Health Centre, Mettupalayam","Administrative sanction under MPLADS for: Setting up of automated diagnostic lab unit at Community Health Centre, Mettupalayam. Implemented by State Rural Water Supply & Sanitation Board for public benefit in Mettupalayam, Coimbatore.",Tamil Nadu,Coimbatore,Coimbatore (LS-20),Sulur,Mettupalayam,10.966972,77.016247,Ganapathi P. Rajkumar,Lok Sabha,Health & Sanitation,STALLED,2023-04-22,2024-02-16,,AGY-JAL-COI,State Rural Water Supply & Sanitation Board,Line Department,3780000,2646000.0,2249100.0,396900.0,59.5,31.5,facility_center,1.2,3150000.0,DELAYED_PROJECT,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-PUN-01083,Setting up of Community RO Water Purification Plant with distribution kiosk at Haveli,"Administrative sanction under MPLADS for: Setting up of Community RO Water Purification Plant with distribution kiosk at Haveli. Implemented by Gram Panchayat Development Committee for public benefit in Haveli, Pune.",Maharashtra,Pune,Pune (LS-34),Haveli,Haveli,18.473309,73.999542,Murlidhar Mohol,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2026-01-16,2026-08-02,,AGY-PRI-PUN,Gram Panchayat Development Committee,Panchayati Raj,2810000,2641400.0,1995100.0,646300.0,71.0,88.4,water_installation,5.0,562000.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-KA-BEN-01296,Construction of Multi-Purpose Community Hall and Cultural Center for public gatherings at Magadi,"Administrative sanction under MPLADS for: Construction of Multi-Purpose Community Hall and Cultural Center for public gatherings at Magadi. Implemented by Apex Engineering & Construction Syndicate for public benefit in Magadi, Bengaluru Rural.",Karnataka,Bengaluru Rural,Bengaluru Rural (LS-23),Devanahalli,Magadi,13.257116,77.470725,C. N. Manjunath,Lok Sabha,Community Infrastructure,IN_PROGRESS,2024-03-04,2024-10-01,,AGY-CONTR-102-BEN,Apex Engineering & Construction Syndicate,Registered Contractor,6220000,5535800.0,4727200.0,808600.0,76.0,88.3,community_hall,1.9,3273684.21,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-IND-01362,Bituminous macadam surfacing of rural connectivity pathway near Depalpur main square,"Administrative sanction under MPLADS for: Bituminous macadam surfacing of rural connectivity pathway near Depalpur main square. Implemented by Gram Panchayat Development Committee for public benefit in Depalpur, Indore.",Madhya Pradesh,Indore,Indore (LS-26),Mhow,Depalpur,22.652403,75.809898,Shankar Lalwani,Lok Sabha,Roads & Pathways,IN_PROGRESS,2025-07-29,2026-04-08,,AGY-PRI-IND,Gram Panchayat Development Committee,Panchayati Raj,9840000,8954400.0,8364000.0,590400.0,85.0,80.3,kilometer,3.6,2733333.33,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-TA-COI-01122,Bituminous macadam surfacing of rural connectivity pathway near Pollachi main square,"Administrative sanction under MPLADS for: Bituminous macadam surfacing of rural connectivity pathway near Pollachi main square. Implemented by Gram Panchayat Development Committee for public benefit in Pollachi, Coimbatore.",Tamil Nadu,Coimbatore,Coimbatore (LS-20),Sulur,Pollachi,10.988267,76.9949,Ganapathi P. Rajkumar,Lok Sabha,Roads & Pathways,IN_PROGRESS,2025-03-16,2025-12-23,,AGY-PRI-COI,Gram Panchayat Development Committee,Panchayati Raj,3550000,3479000.0,2982000.0,497000.0,84.0,84.5,kilometer,1.2,2958333.33,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-BI-PAT-01257,"Setting up of automated diagnostic lab unit at Community Health Centre, Phulwari","Administrative sanction under MPLADS for: Setting up of automated diagnostic lab unit at Community Health Centre, Phulwari. Implemented by Gram Panchayat Development Committee for public benefit in Phulwari, Patna.",Bihar,Patna,Patna Sahib (LS-30),Bakhtiarpur,Phulwari,25.550629,85.052162,Ravi Shankar Prasad,Lok Sabha,Health & Sanitation,IN_PROGRESS,2024-01-11,2024-10-14,,AGY-PRI-PAT,Gram Panchayat Development Committee,Panchayati Raj,5930000,5930000.0,4744000.0,1186000.0,80.0,94.9,facility_center,1.6,3706250.0,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-MA-IND-01418,Installation of Deep Borewell with Solar Dual Pump and overhead storage tank at Hatod,"Administrative sanction under MPLADS for: Installation of Deep Borewell with Solar Dual Pump and overhead storage tank at Hatod. Implemented by Public Works Department (Div-1) for public benefit in Hatod, Indore. (Contains specialized premium design parameters and expedited specifications).",Madhya Pradesh,Indore,Indore (LS-26),Mhow,Hatod,22.702289,75.881595,Shankar Lalwani,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2026-02-22,2027-02-02,,AGY-PWD-IND,Public Works Department (Div-1),Line Department,1930000,1737000.0,1476450.0,260550.0,76.5,38.6,water_installation,1.5,1286666.67,COST_OUTLIER,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
MPLAD-KA-BEN-01239,Setting up of Community RO Water Purification Plant with distribution kiosk at Doddaballapura,"Administrative sanction under MPLADS for: Setting up of Community RO Water Purification Plant with distribution kiosk at Doddaballapura. Implemented by Apex Engineering & Construction Syndicate for public benefit in Doddaballapura, Bengaluru Rural.",Karnataka,Bengaluru Rural,Bengaluru Rural (LS-23),Devanahalli,Doddaballapura,13.332663,77.696388,C. N. Manjunath,Lok Sabha,Drinking Water Supply,IN_PROGRESS,2024-01-07,2024-11-14,,AGY-CONTR-102-BEN,Apex Engineering & Construction Syndicate,Registered Contractor,1590000,1590000.0,1415100.0,174900.0,89.0,88.4,water_installation,3.8,418421.05,NORMAL,DEMO DATA — NOT OFFICIAL GOVERNMENT DATA
